ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,post1500AverageCalories00count,post1500AverageCalories00gini,post1500AverageCalories00majority,post1500AverageCalories00max,post1500AverageCalories00mean,post1500AverageCalories00median,post1500AverageCalories00min,post1500AverageCalories00std,post1500AverageCalories00sum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,952,0.019450021598,5307.00195312,6043.15820312,5357.65861345,5331.34960938,4350.26855469,200.831328953,5100491.0
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2215,0.0309405601693,4993.16943359,5119.01269531,4718.2744921,4793.03320312,3864.10595703,268.928589043,10450978.0
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,2066,0.0128029052183,5835.00927734,6217.57617188,5859.37463698,5854.74316406,5155.32910156,144.10018565,12105468.0
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,3084,0.125889630824,5160.90673828,6107.26416016,4450.44098573,4634.85058594,2407.53149414,981.141525269,13725160.0
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,493,0.0148105186902,5751.40673828,6124.72460938,5637.29513185,5647.66308594,5022.85644531,156.751867845,2779186.5
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,63,0.0124995208368,5810.45458984,6221.77099609,5963.00347222,5969.62597656,5756.27880859,131.450447843,375669.21875
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,3012,0.224065550887,0.0,3984.65893555,2049.2875166,2002.36352539,0.0,845.153909932,6172454.0
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,365,0.10353276035,5378.26367188,5942.41699219,4750.15650685,4925.34423828,1812.06848145,869.990546319,1733807.125
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1900,0.0447007394794,4481.40332031,5967.10400391,5264.70157895,5391.19091797,4474.11523438,413.686400423,10002933.0
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,385,0.0856444291398,3823.29760742,5837.72070312,4483.0538961,4370.96386719,3497.41064453,682.575413273,1725975.75
12542396439.0,1814978794.0,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT,14357.7110427,584.88512141,-8097245.15673,4212352.98936,10,200,0.0160063661621,5769.75195312,6168.65234375,5800.54625,5841.98828125,4468.17529297,198.883049806,1160109.25
5047093738.0,1398754502.0,5,A,10,+38.9985380,-075.4416616,00,G4000,Delaware,3,10,01779781,DE,6445.84191706,399.848001557,-8399273.06795,3993403.78312,11,105,0.00984290167905,5521.98632812,5824.36376953,5543.0047619,5521.98632812,5373.02490234,98.806023891,582015.5
3.14161410324e+11,755712514.0,8,A,35,+34.4346843,-106.1316181,00,G4000,New Mexico,4,35,00897535,NM,314917.908855,2416.1784229,-11812158.0074,3582772.70957,12,4337,0.319919605227,0.0,2733.1081543,1239.37814157,1368.3425293,0.0,730.525701027,5375183.0
4.03483823181e+11,20483271881.0,9,A,06,+37.1551773,-119.5434183,00,G4000,California,4,06,01779778,CA,423967.004819,4357.51916754,-13313380.5929,3826441.24884,13,5683,0.321526870431,0.0,3870.04125977,1937.38623966,2236.0168457,0.0,1130.01330618,11010166.0
19048769408.0,3542752545.0,2,A,34,+40.1072744,-074.6652012,00,G4000,New Jersey,1,34,01779795,NJ,22591.5406716,849.43031427,-8310757.82828,4088510.84163,14,327,0.0179941020428,5444.07910156,5784.99365234,5473.74388379,5447.21386719,5175.84912109,171.157902309,1789914.25
1.40269495483e+11,29365430262.0,3,A,55,+44.6309071,-089.7093916,00,G4000,Wisconsin,2,55,01779806,WI,169635.014088,2338.84018924,-9987740.51312,4458706.40452,15,2062,0.0930353696896,5961.97021484,6217.57617188,5130.8986421,5444.25341797,3088.05175781,873.588423268,10579913.0
2.48608666869e+11,6190902750.0,9,A,41,+43.9717125,-120.6229578,00,G4000,Oregon,4,41,01155107,OR,254799.96734,2630.23208657,-13426031.2834,4403115.08289,16,3479,0.205889055914,0.0,4648.171875,2413.23023857,2268.48168945,0.0,921.700077604,8395628.0
1.98972282955e+11,1356441861.0,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE,200328.990394,2540.38865171,-11110019.9755,4207174.53358,17,2753,0.115653293759,4181.47802734,5880.41113281,4373.25390483,4496.59716797,2464.11376953,881.776419207,12039568.0
1.15884023072e+11,3396010541.0,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA,119279.928592,1847.96553455,-8664883.14321,4154892.42564,18,1653,0.0279761250451,5384.0625,6193.89453125,5578.51179673,5616.94921875,4141.10986328,303.038630167,9221280.0
1.72120795268e+11,12540315747.0,9,A,53,+47.4073238,-120.5757999,00,G4000,Washington,4,53,01779804,WA,184660.768653,2340.38287479,-13424451.8509,4674015.41293,19,2534,0.257134884613,0.0,4648.171875,2569.96468035,2695.14941406,0.0,1202.34126772,6512290.5
1.11901043977e+11,23750204105.0,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA,135651.297304,2764.05822391,-10219838.9366,3256359.59927,20,1799,0.0293661403039,4238.42480469,5008.91015625,4455.25264036,4333.96240234,4141.67871094,239.876195601,8014999.5
1.48963503399e+11,4947080103.0,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA,153910.561891,2188.99848016,-9286478.63026,3419188.56611,21,2136,0.0225237090365,4734.66845703,5301.37744141,4965.43726592,4968.10546875,4287.98388672,197.910735373,10606174.0
1.31172403111e+11,4594951242.0,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL,135767.386503,1767.12524582,-9667618.06552,3430114.07715,22,1892,0.0344330867953,4165.92822266,5151.86328125,4554.45560254,4512.82128906,4076.72143555,273.229994732,8617030.0
2.12883424892e+11,7000211755.0,8,A,49,+39.3349925,-111.6563326,00,G4000,Utah,4,49,01455989,UT,219883.797187,1971.56580125,-12431516.1209,4018585.06351,23,2990,0.218080197921,0.0,3161.89379883,1550.90668896,1550.59960938,0.0,629.999322609,4637211.0
1.05831263791e+11,10266413579.0,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH,116097.521096,1627.34831897,-9207579.59242,4113647.6726,24,1515,0.0236066403924,6064.6875,6214.77099609,5711.74785479,5661.95849609,5195.83251953,236.032956249,8653298.0
6.7660188707e+11,19059877230.0,7,A,48,+31.4347032,-099.2818238,00,G4000,Texas,3,48,01779801,TX,695661.705491,5864.63612843,-11054268.2333,3302051.74296,25,9429,0.282378871642,0.0,5304.06591797,2769.8057058,2581.7421875,0.0,1391.54495362,26116498.0
2.68426928342e+11,1176085119.0,8,A,08,+38.9938673,-105.5083188,00,G4000,Colorado,4,08,01779779,CO,269601.915669,2251.97431588,-11749523.8931,3991553.27662,26,3636,0.330807823019,0.0,3377.5012207,1611.73349835,1856.50317383,0.0,969.2802633,5860263.0
77857913931.0,5074749305.0,5,A,45,+33.8741769,-080.8542699,00,G4000,South Carolina,3,45,01779799,SC,82932.6992126,1629.42132606,-9001458.05543,3535579.2733,27,1157,0.0253172827654,4990.28320312,5810.63867188,5016.40579084,4997.75,4287.98388672,231.131357474,5803981.5
1.7766295136e+11,3374301679.0,7,A,40,+35.5900512,-097.4868150,00,G4000,Oklahoma,3,40,01102857,OK,181037.551842,2864.30704413,-10853772.7789,3690713.54557,28,2558,0.134874852367,2063.81347656,5994.49951172,4557.82290852,5121.15185547,1887.56408691,1128.54606138,11658911.0
1.06800130794e+11,2352882756.0,6,A,47,+35.8585639,-086.3493573,00,G4000,Tennessee,3,47,01325873,TN,109153.25966,2436.39565629,-9612100.99128,3715148.71271,29,1604,0.0137109127245,5170.92236328,5609.30664062,5097.68734414,5076.74365234,4712.97509766,127.81906925,8176690.5
2.51471960305e+11,1862600347.0,8,A,56,+42.9918024,-107.5419255,00,G4000,Wyoming,4,56,01779807,WY,253334.1144,2209.264988,-11972570.2671,4327112.12022,30,3542,0.287613285226,0.0,3715.09765625,1625.42603049,1695.60693359,0.0,833.235151453,5757259.0
16634306891.0,11777540015.0,9,A,15,+19.8281713,-155.4950401,00,G4000,Hawaii,4,15,01779782,HI,28411.8143213,2293.7542224,-17592813.9339,2266810.73494,31,335,0.127765022023,3969.3125,4552.81152344,3325.79962687,3185.31079102,2022.21154785,744.045577163,1114142.875
1.7870878744e+11,4398990288.0,4,A,38,+47.4421698,-100.4608163,00,G4000,North Dakota,2,38,01779797,ND,183107.753355,2598.84495575,-11184006.3563,4676648.95557,32,2592,0.0728643301477,2657.75,4252.86132812,3149.92708333,3134.20947266,2211.90185547,414.517151799,8164611.0
1.02262419204e+11,2393338940.0,6,A,21,+37.5336844,-085.2929801,00,G4000,Kentucky,3,21,01779786,KY,104655.716475,2387.64973482,-9495120.42995,3864897.57247,33,1518,0.0177037618371,5372.90673828,5663.57226562,5319.68412385,5345.82324219,4993.98974609,164.590816944,8075280.5
348078633.0,1550282944.0,0,A,78,+18.3267485,-064.9712501,00,G4000,United States Virgin Islands,9,78,01802710,VI,1898.25676264,284.815599137,-7217833.40231,1964811.63897,34,21,0.0134594587551,4201.76464844,4201.76464844,4051.63988095,4083.62573242,3917.3059082,95.9880324882,85084.4375
472233661.0,4644349190.0,0,A,69,+14.9367835,+145.6010210,00,G4000,Commonwealth of the Northern Mariana Islands,9,69,01779809,MP,5116.54370359,915.150950551,16207713.7035,1830396.63492,35,35,0.0381861974841,2561.65966797,2837.83496094,2581.62366071,2561.79370117,2256.53344727,183.830783991,90356.828125
543397709.0,934511639.0,0,A,66,+13.4382961,+144.7729496,00,G4000,Guam,9,66,01802705,GU,1477.8934092,173.411907553,16115657.6723,1473168.16521,36,16,0.00231411035283,2552.20898438,2568.71289062,2556.4050293,2560.34716797,2533.22192383,10.6776202307,40902.4804688
79885244456.0,11749091526.0,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME,91634.0174506,1824.44875692,-7704222.30385,4509366.95851,37,1244,0.0972526288709,4598.06005859,5808.85253906,3973.33199357,3639.99633789,1655.8807373,702.306352113,4942825.0
1.22054577774e+11,19242052501.0,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY,141296.440791,2666.09194497,-8415277.28034,4321414.63824,38,1855,0.0756242070048,3729.41650391,6051.57714844,5119.51590296,5344.51513672,1734.83752441,700.53962104,9496702.0
2.84331571298e+11,2049092975.0,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV,286380.709679,2356.06622936,-12984708.5784,4019862.68482,39,3920,0.287161056025,0.0,2572.51953125,1301.14170918,1558.13916016,0.0,721.48945712,5100475.5
1.47784935955e+12,2.45487700921e+11,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK,1723339.64625,25016.5236703,-16815874.5256,5654961.05792,40,21487,0.946023830074,0.0,3308.35498047,104.653860474,0.0,0.0,414.110346373,2248697.5
198019968.0,1306931137.0,0,A,60,-14.2661172,-170.6646022,00,G4000,American Samoa,9,60,01802701,AS,1505.00310624,314.288732187,-18933325.9489,-1528836.16603,41,20,0.00530057893585,2224.29516602,2236.29150391,2218.07148438,2224.29516602,2130.86083984,29.7666412228,44361.4296875
1.4645531695e+11,1.04031344385e+11,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI,250485.671823,2883.31306393,-9539830.84527,4473794.68006,42,2247,0.10120636718,5846.85888672,6287.68310547,4998.2340899,5114.25878906,3278.1953125,893.19702711,11231032.0
1.34771603434e+11,2960200961.0,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR,137731.734141,2301.52048904,-10290489.1871,3628512.85471,43,1967,0.0304476522505,5183.42041016,6000.43310547,5370.17081851,5390.58300781,4611.81298828,291.391765771,10563126.0
1.21531899917e+11,3928587545.0,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS,125460.454218,2430.51060453,-9980268.36131,3425787.85844,44,1768,0.0437410693032,4216.52685547,5383.62792969,4582.0831448,4442.87744141,4085.3659668,365.313056103,8101123.0
1.78039995643e+11,2500220114.0,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO,180540.23489,2567.38599832,-10293469.3835,3936617.60586,45,2494,0.013503544744,5870.33251953,6135.37890625,5865.96190858,5903.92382812,5134.51025391,167.68092241,14629709.0
3.76963849026e+11,3867840830.0,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT,380830.691587,3735.29635484,-12204972.6614,4644128.48396,46,5269,0.149736502706,0.0,3942.69335938,2255.1263997,2256.54638672,0.0,641.971872132,11882261.0
2.11752875517e+11,1346704962.0,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS,213099.501319,2240.87414276,-10951540.3381,3948089.34831,47,2942,0.154544217481,5786.62060547,6128.77880859,4540.05302515,4397.62939453,1903.98278809,1241.11443967,13356836.0
92790411854.0,1535839439.0,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN,94326.2949736,1683.62940236,-9605146.235,4070908.90887,48,1340,0.0292233423807,6271.18847656,6314.94189453,5841.44552239,5746.13037109,5321.16894531,302.529623565,7827537.0
8867837128.0,4923436762.0,0,A,72,+18.2176480,-066.4107992,00,G4000,Puerto Rico,9,72,01779808,PR,13791.2789931,813.664268796,-7393250.85942,1981265.16937,49,159,0.024919714893,4341.50097656,4669.88085938,4179.79874214,4165.45849609,3804.82568359,183.988549001,664588.0
1.9634887687e+11,3379900654.0,4,A,46,+44.4467957,-100.2381762,00,G4000,South Dakota,2,46,01785534,SD,199728.979568,2446.32694034,-11157408.7689,4443755.76501,50,2776,0.0931038709994,3399.95483398,5371.83691406,3739.35806916,3620.07373047,2475.26953125,608.35027071,10380458.0
20203936287.0,7131805598.0,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA,27335.7398492,1235.77434574,-7959432.76198,4260654.6175,51,375,0.0404683167278,4529.42626953,6229.20800781,5687.43866667,5872.80029297,3853.96191406,469.431883593,2132789.5
1.02283343474e+11,8504608966.0,5,A,51,+37.5222512,-078.6681938,00,G4000,Virginia,3,51,01779803,VA,110786.581523,2588.20793102,-8757613.26377,3863310.87027,52,1576,0.0182876925216,5822.53125,6033.109375,5619.53616751,5660.09570312,4939.00292969,182.944556246,8856389.0
158350578.0,18633500.0,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC,176.984095575,69.0833494035,-8573413.29016,3985849.33382,53,8,0.013798469022,5744.16552734,5888.27978516,5632.47314453,5541.78662109,5486.75488281,147.289806536,45059.7851562
1.44668594415e+11,1076856589.0,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA,145745.455649,2164.17851482,-10408152.9215,4252603.65208,54,2052,0.0195836350389,6067.32470703,6248.33251953,5877.4337232,5883.56347656,4813.3125,211.132599707,12060494.0
2.94205282243e+11,1027790845.0,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ,295234.202593,2463.56688168,-12430201.5001,3570772.17544,55,4057,0.39264395155,0.0,2684.14086914,1112.60364802,1336.42053223,0.0,794.638340496,4513833.0
