ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre15002AverageCalories00count,pre15002AverageCalories00gini,pre15002AverageCalories00majority,pre15002AverageCalories00max,pre15002AverageCalories00mean,pre15002AverageCalories00median,pre15002AverageCalories00min,pre15002AverageCalories00std,pre15002AverageCalories00sum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,895,0.0401832369113,6739.02148438,7129.56738281,6370.49717015,6428.29736328,3896.82714844,474.660370743,5701594.96729
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2106,0.0290364575612,6502.04394531,7119.73925781,6654.92412049,6804.89575195,5328.72900391,396.859688124,14015270.1978
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,1910,0.0226670901204,6627.15576172,7470.25,6469.9466191,6454.91577148,6003.17333984,277.196559994,12357598.0425
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,2890,0.156368246258,6125.41455078,6853.50585938,4965.40173809,5415.50463867,1681.75,1414.67564469,14350011.0231
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,474,0.0414142789909,7083.50585938,7246.66894531,6642.12217951,6824.85400391,5025.63427734,496.954312397,3148365.91309
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,59,0.0218138961229,6211.86865234,7271.734375,6657.72021484,6590.87304688,6211.86865234,270.968182954,392805.492676
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,2824,0.294647973029,0.0,3255.36303711,1029.66289796,937.512115479,0.0,552.495697384,2907768.02383
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,349,0.167307066481,2184.875,6368.63623047,4626.78265258,5020.41015625,1380.06005859,1397.37052273,1614747.14575
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1813,0.0287500792129,6662.06005859,7521.93017578,6943.19127024,7009.44189453,5222.41894531,384.439478884,12588005.7729
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,364,0.177543667339,3457.80151367,6200.93017578,4062.81703337,4058.59143066,2305.75805664,1266.33244434,1478865.40015
12542396439.0,1814978794.0,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT,14357.7110427,584.88512141,-8097245.15673,4212352.98936,10,195,0.0350123383462,6575.02050781,7292.33447266,6431.58600135,6480.37597656,3954.71020508,437.045230275,1254159.27026
5047093738.0,1398754502.0,5,A,10,+38.9985380,-075.4416616,00,G4000,Delaware,3,10,01779781,DE,6445.84191706,399.848001557,-8399273.06795,3993403.78312,11,100,0.0225079283026,6076.67773438,7074.85351562,6648.09460937,6754.0534668,5858.26220703,285.029309337,664809.460938
3.14161410324e+11,755712514.0,8,A,35,+34.4346843,-106.1316181,00,G4000,New Mexico,4,35,00897535,NM,314917.908855,2416.1784229,-11812158.0074,3582772.70957,12,4055,0.382629629724,0.0,2512.61425781,959.23042306,1062.94165039,0.0,653.622181519,3889679.36551
4.03483823181e+11,20483271881.0,9,A,06,+37.1551773,-119.5434183,00,G4000,California,4,06,01779778,CA,423967.004819,4357.51916754,-13313380.5929,3826441.24884,13,5313,0.373393584486,0.0,3450.82861328,1275.99155798,1346.56994629,0.0,836.278933438,6779343.14752
19048769408.0,3542752545.0,2,A,34,+40.1072744,-074.6652012,00,G4000,New Jersey,1,34,01779795,NJ,22591.5406716,849.43031427,-8310757.82828,4088510.84163,14,308,0.0347882578991,6261.234375,7235.90869141,6156.21452034,6154.65307617,5626.04589844,387.214389892,1896114.07227
1.40269495483e+11,29365430262.0,3,A,55,+44.6309071,-089.7093916,00,G4000,Wisconsin,2,55,01779806,WI,169635.014088,2338.84018924,-9987740.51312,4458706.40452,15,1954,0.123845727609,6229.97167969,7213.62304688,5406.75155368,6106.2980957,2427.4699707,1289.8719754,10564792.5359
2.48608666869e+11,6190902750.0,9,A,41,+43.9717125,-120.6229578,00,G4000,Oregon,4,41,01155107,OR,254799.96734,2630.23208657,-13426031.2834,4403115.08289,16,3233,0.338548745434,0.0,4378.71875,1308.74865896,1094.21337891,0.0,837.933326253,4231184.41443
1.98972282955e+11,1356441861.0,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE,200328.990394,2540.38865171,-11110019.9755,4207174.53358,17,2629,0.157429520448,4081.51586914,6594.86914062,4399.07110812,4645.30810547,1728.92138672,1210.52857571,11565157.9432
1.15884023072e+11,3396010541.0,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA,119279.928592,1847.96553455,-8664883.14321,4154892.42564,18,1569,0.0526953290429,6401.51757812,7323.64599609,6124.72474428,6158.30175781,3330.56420898,607.114418848,9609693.12378
1.72120795268e+11,12540315747.0,9,A,53,+47.4073238,-120.5757999,00,G4000,Washington,4,53,01779804,WA,184660.768653,2340.38287479,-13424451.8509,4674015.41293,19,2314,0.351239578828,0.0,4306.64599609,1561.12708336,1501.63604736,0.0,968.399126069,3612448.07089
1.11901043977e+11,23750204105.0,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA,135651.297304,2764.05822391,-10219838.9366,3256359.59927,20,1712,0.0258350087924,5942.56201172,6964.22802734,6383.03145022,6293.68115234,5905.98291016,288.93504329,10927749.8428
1.48963503399e+11,4947080103.0,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA,153910.561891,2188.99848016,-9286478.63026,3419188.56611,21,2000,0.0323386977423,7387.17285156,7394.22119141,6912.02534937,7056.88745117,5219.37011719,438.633256844,13824050.6987
1.31172403111e+11,4594951242.0,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL,135767.386503,1767.12524582,-9667618.06552,3430114.07715,22,1760,0.0242652975586,5840.12744141,7014.10205078,6258.6368411,6252.06445312,5719.25830078,271.502435614,11015200.8403
2.12883424892e+11,7000211755.0,8,A,49,+39.3349925,-111.6563326,00,G4000,Utah,4,49,01455989,UT,219883.797187,1971.56580125,-12431516.1209,4018585.06351,23,2856,0.445130111808,0.0,2256.14013672,691.882797284,633.822479248,0.0,547.625112728,1976017.26904
1.05831263791e+11,10266413579.0,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH,116097.521096,1627.34831897,-9207579.59242,4113647.6726,24,1418,0.0263394760823,6314.28759766,7254.52148438,6493.5426034,6481.23388672,5717.32763672,303.887098194,9207843.41162
6.7660188707e+11,19059877230.0,7,A,48,+31.4347032,-099.2818238,00,G4000,Texas,3,48,01779801,TX,695661.705491,5864.63612843,-11054268.2333,3302051.74296,25,8840,0.339882124037,0.0,6942.89404297,3388.84363327,2897.46850586,0.0,2036.43372067,29957377.7181
2.68426928342e+11,1176085119.0,8,A,08,+38.9938673,-105.5083188,00,G4000,Colorado,4,08,01779779,CO,269601.915669,2251.97431588,-11749523.8931,3991553.27662,26,3520,0.396340141975,0.0,3107.97729492,1091.11628578,1174.1394043,0.0,771.135271115,3840729.32596
77857913931.0,5074749305.0,5,A,45,+33.8741769,-080.8542699,00,G4000,South Carolina,3,45,01779799,SC,82932.6992126,1629.42132606,-9001458.05543,3535579.2733,27,1082,0.0247306866139,7002.44628906,7428.89453125,6959.3239358,7044.22338867,5219.37011719,372.963467159,7529988.49854
1.7766295136e+11,3374301679.0,7,A,40,+35.5900512,-097.4868150,00,G4000,Oklahoma,3,40,01102857,OK,181037.551842,2864.30704413,-10853772.7789,3690713.54557,28,2389,0.187877941704,5451.27929688,6960.16894531,4851.50912548,5459.75927734,1413.10510254,1620.86436973,11590255.3008
1.06800130794e+11,2352882756.0,6,A,47,+35.8585639,-086.3493573,00,G4000,Tennessee,3,47,01325873,TN,109153.25966,2436.39565629,-9612100.99128,3715148.71271,29,1481,0.0196798529554,6376.765625,7372.0,6399.55434494,6393.9921875,5460.58154297,227.784433805,9477739.98486
2.51471960305e+11,1862600347.0,8,A,56,+42.9918024,-107.5419255,00,G4000,Wyoming,4,56,01779807,WY,253334.1144,2209.264988,-11972570.2671,4327112.12022,30,3229,0.374078742851,0.0,3275.92016602,947.35790648,900.239990234,0.0,632.311185718,3059018.68002
16634306891.0,11777540015.0,9,A,15,+19.8281713,-155.4950401,00,G4000,Hawaii,4,15,01779782,HI,28411.8143213,2293.7542224,-17592813.9339,2266810.73494,31,304,0.143769275227,4224.97705078,6058.77197266,4361.27710443,4222.78320312,2228.37988281,1092.22277663,1325828.23975
1.7870878744e+11,4398990288.0,4,A,38,+47.4421698,-100.4608163,00,G4000,North Dakota,2,38,01779797,ND,183107.753355,2598.84495575,-11184006.3563,4676648.95557,32,2335,0.0961539724212,2950.65307617,5120.67578125,3409.7871822,3398.6628418,1897.68432617,597.611373672,7961853.07043
1.02262419204e+11,2393338940.0,6,A,21,+37.5336844,-085.2929801,00,G4000,Kentucky,3,21,01779786,KY,104655.716475,2387.64973482,-9495120.42995,3864897.57247,33,1440,0.0162023426232,6734.61132812,6942.66210938,6462.91232571,6459.76513672,5830.07226562,184.623337919,9306593.74902
348078633.0,1550282944.0,0,A,78,+18.3267485,-064.9712501,00,G4000,United States Virgin Islands,9,78,01802710,VI,1898.25676264,284.815599137,-7217833.40231,1964811.63897,34,22,0.0244906479512,5150.22802734,5672.54833984,5357.99860174,5339.84838867,5075.47802734,243.106259481,117875.969238
472233661.0,4644349190.0,0,A,69,+14.9367835,+145.6010210,00,G4000,Commonwealth of the Northern Mariana Islands,9,69,01779809,MP,5116.54370359,915.150950551,16207713.7035,1830396.63492,35,33,0.269597102101,4013.27001953,4013.71484375,2629.99150872,1668.40002441,952.799987793,1348.79388672,86789.7197876
543397709.0,934511639.0,0,A,66,+13.4382961,+144.7729496,00,G4000,Guam,9,66,01802705,GU,1477.8934092,173.411907553,16115657.6723,1473168.16521,36,16,0.00213984306292,4036.64990234,4059.70996094,4036.31745911,4039.75488281,3990.97509766,16.3504103262,64581.0793457
79885244456.0,11749091526.0,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME,91634.0174506,1824.44875692,-7704222.30385,4509366.95851,37,1167,0.189796972161,4604.91845703,6068.90722656,3432.7158541,2756.98339844,1102.64001465,1185.3281067,4005979.40173
1.22054577774e+11,19242052501.0,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY,141296.440791,2666.09194497,-8415277.28034,4321414.63824,38,1735,0.126030414423,6024.97753906,7235.90869141,5196.09042687,5686.44580078,1242.7800293,1217.13834251,9015216.89062
2.84331571298e+11,2049092975.0,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV,286380.709679,2356.06622936,-12984708.5784,4019862.68482,39,3687,0.461204496904,0.0,1978.83007812,501.653425729,549.469970703,0.0,427.011721148,1849596.18066
1.47784935955e+12,2.45487700921e+11,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK,1723339.64625,25016.5236703,-16815874.5256,5654961.05792,40,20147,0.948808960625,0.0,1695.32006836,51.7005173519,0.0,0.0,210.649407453,1041610.32309
198019968.0,1306931137.0,0,A,60,-14.2661172,-170.6646022,00,G4000,American Samoa,9,60,01802701,AS,1505.00310624,314.288732187,-18933325.9489,-1528836.16603,41,15,0.00337906640471,3601.91992188,3620.22485352,3597.79928385,3601.91992188,3537.39990234,25.4125610893,53966.9892578
1.4645531695e+11,1.04031344385e+11,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI,250485.671823,2883.31306393,-9539830.84527,4473794.68006,42,2113,0.181152834193,5962.09716797,7119.26757812,4751.83515655,5110.29150391,1792.7434082,1538.19714857,10040627.6858
1.34771603434e+11,2960200961.0,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR,137731.734141,2301.52048904,-10290489.1871,3628512.85471,43,1805,0.0165380803036,6858.43017578,6992.06445312,6698.13031293,6689.75,6126.50927734,194.103390899,12090125.2148
1.21531899917e+11,3928587545.0,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS,125460.454218,2430.51060453,-9980268.36131,3425787.85844,44,1651,0.0172042274402,6033.94042969,6652.72705078,6212.73571297,6209.31640625,5749.2578125,187.244617597,10257226.6621
1.78039995643e+11,2500220114.0,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO,180540.23489,2567.38599832,-10293469.3835,3936617.60586,45,2399,0.0166540048344,6399.64453125,7030.47363281,6595.35700931,6604.64892578,6077.33789062,191.239152947,15822261.4653
3.76963849026e+11,3867840830.0,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT,380830.691587,3735.29635484,-12204972.6614,4644128.48396,46,4807,0.157818636493,0.0,2734.97290039,1491.28076659,1524.03808594,0.0,435.865179147,7168586.64502
2.11752875517e+11,1346704962.0,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS,213099.501319,2240.87414276,-10951540.3381,3948089.34831,47,2754,0.209576827269,2666.46459961,7078.67236328,4586.29992401,4295.02441406,1450.00402832,1682.45997029,12630669.9907
92790411854.0,1535839439.0,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN,94326.2949736,1683.62940236,-9605146.235,4070908.90887,48,1268,0.0307159857056,7043.62890625,7516.00585938,6627.46702677,6616.21899414,5810.73242188,358.311446124,8403628.18994
8867837128.0,4923436762.0,0,A,72,+18.2176480,-066.4107992,00,G4000,Puerto Rico,9,72,01779808,PR,13791.2789931,813.664268796,-7393250.85942,1981265.16937,49,148,0.0309792616556,5612.38916016,6222.31835938,5579.01510373,5594.95654297,4900.50195312,303.535441479,825694.235352
1.9634887687e+11,3379900654.0,4,A,46,+44.4467957,-100.2381762,00,G4000,South Dakota,2,46,01785534,SD,199728.979568,2446.32694034,-11157408.7689,4443755.76501,50,2607,0.140163566043,4049.734375,6241.29150391,3844.44136195,3667.14990234,1860.60400391,940.45383282,10022458.6306
20203936287.0,7131805598.0,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA,27335.7398492,1235.77434574,-7959432.76198,4260654.6175,51,346,0.0664674097112,6238.68896484,7275.95605469,6079.85496847,6343.53100586,2467.48999023,826.176023883,2103629.81909
1.02283343474e+11,8504608966.0,5,A,51,+37.5222512,-078.6681938,00,G4000,Virginia,3,51,01779803,VA,110786.581523,2588.20793102,-8757613.26377,3863310.87027,52,1456,0.0277995073018,6592.98144531,7416.15673828,6947.50552636,7034.09301758,4852.39453125,362.161835153,10115568.0464
158350578.0,18633500.0,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC,176.984095575,69.0833494035,-8573413.29016,3985849.33382,53,7,0.00999486560259,6555.01123047,6932.91113281,6777.0984933,6771.65039062,6555.01123047,121.362392177,47439.6894531
1.44668594415e+11,1076856589.0,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA,145745.455649,2164.17851482,-10408152.9215,4252603.65208,54,1878,0.0287005139758,6840.39453125,7588.09033203,6566.70122518,6550.97241211,5038.95458984,335.926852673,12332264.9009
2.94205282243e+11,1027790845.0,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ,295234.202593,2463.56688168,-12430201.5001,3570772.17544,55,3775,0.528771660687,0.0,2294.35424805,682.172717552,716.953369141,0.0,654.297740396,2575202.00876
